Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-August-2018,153.90,155.25,151.60,154.25,153.829335489257673863,415599,3741,63931318.00,140991,33.92,3.65,0.35
23-August-2018,157.90,157.90,151.90,153.55,153.451120754662576341,1595309,7241,244801954.00,1033301,64.77,6.00,-4.35
21-August-2018,159.20,159.75,157.60,157.80,158.434029425128085408,398367,4770,63114889.00,182784,45.88,2.15,-1.40
20-August-2018,158.95,160.20,158.35,158.85,159.005358540550304052,348789,2465,55459320.00,131892,37.81,1.85,-0.10
17-August-2018,159.00,160.00,158.75,159.60,159.477243804888963472,286032,2474,45615595.00,168655,58.96,1.25,0.60
16-August-2018,161.10,161.85,158.35,158.55,159.382692501551897028,376958,7519,60080581.00,142750,37.87,3.50,-2.55
14-August-2018,161.00,162.25,159.05,160.60,160.943074762364616795,2461439,4448,396151561.00,2029569,82.45,3.20,-0.40
13-August-2018,168.60,168.60,160.00,160.65,163.850059764009963357,867579,4832,142152871.00,247315,28.51,8.60,-7.95
10-August-2018,166.10,168.70,163.55,166.50,166.033691945276770225,405824,2857,67380457.00,90078,22.20,5.15,0.40
9-August-2018,168.00,169.40,164.90,165.40,166.531944623895181628,208971,1712,34800347.00,77213,36.95,4.50,-2.60
8-August-2018,167.05,167.80,165.40,165.75,166.106478265759061170,151167,1352,25109818.00,55458,36.69,2.40,-1.30
7-August-2018,168.50,168.75,166.10,166.55,167.081968956927959152,112811,1126,18848684.00,38182,33.85,2.65,-1.95
6-August-2018,168.65,169.90,167.15,168.10,168.250749908813265900,183689,1934,30905812.00,66079,35.97,2.75,-0.55
3-August-2018,168.00,169.65,166.90,168.65,168.659601066785198355,143984,1261,24284284.00,37203,25.84,2.75,0.65
2-August-2018,169.25,171.55,168.00,168.75,169.327785393390187586,247299,1853,41874592.00,58352,23.60,3.55,-0.50
1-August-2018,166.40,168.90,166.20,168.00,167.745796363526806561,331915,2715,55677346.00,86461,26.05,2.70,1.60
31-July-2018,166.50,166.50,163.60,164.45,164.424801390494043989,219778,1541,36136954.00,68372,31.11,2.90,-2.05
30-July-2018,166.00,169.05,164.80,166.35,166.839893381694265792,273499,2187,45630544.00,67693,24.75,4.25,0.35
27-July-2018,160.00,165.75,159.65,165.10,163.106069577656356260,341144,2821,55642657.00,108110,31.69,6.10,5.10
26-July-2018,162.90,163.95,157.85,158.90,160.243656742489404814,415047,3229,66508649.00,141171,34.01,6.10,-4.00
25-July-2018,164.90,164.90,160.45,163.20,162.418046096654275092,168125,1953,27306534.00,39254,23.35,4.45,-1.70
24-July-2018,163.90,165.30,162.20,164.90,164.172663964710360733,178636,1277,29327148.00,56428,31.59,3.10,1.00
23-July-2018,162.10,165.30,161.65,162.25,163.500818776166807597,242435,2158,39638321.00,64669,26.67,3.65,0.15
20-July-2018,164.00,164.05,160.60,160.95,161.652507238840535233,351921,2053,56888912.00,180575,51.31,3.45,-3.05
19-July-2018,166.85,166.85,162.85,165.75,165.013320800655895189,241502,1682,39851047.00,49731,20.59,4.00,-1.10
18-July-2018,165.50,167.80,164.70,166.75,166.572091915984886519,424257,3672,70669376.00,102799,24.23,3.10,1.25
17-July-2018,161.50,165.00,160.00,164.05,162.807676799024391310,915121,5933,148988724.00,241741,26.42,5.00,2.55
16-July-2018,159.70,159.95,157.00,157.35,158.300132770558213607,294493,2092,46618281.00,65913,22.38,2.95,-2.35
13-July-2018,159.60,160.20,155.85,159.30,158.417792006087748406,641288,4216,101591429.00,119734,18.67,4.35,-0.30
12-July-2018,159.65,164.20,156.40,156.85,159.685828095006632009,1456572,8153,232593906.00,287735,19.75,7.80,-2.80
11-July-2018,155.75,156.85,151.50,155.15,154.096872994866859159,598464,3657,92221431.00,204119,34.11,5.35,-0.60
10-July-2018,157.35,157.65,155.00,155.40,156.248258544478648669,202704,1740,31672147.00,73599,36.31,2.65,-1.95
9-July-2018,156.60,158.80,156.60,157.40,157.564465928257202969,230044,1807,36246760.00,63191,27.47,2.20,0.80
6-July-2018,155.10,159.80,155.10,156.60,158.026451454182566826,540613,3696,85431154.00,158683,29.35,4.70,1.50
5-July-2018,154.05,157.25,154.05,155.15,155.918756233196593003,309833,2232,48308776.00,60293,19.46,3.20,1.10
4-July-2018,154.55,156.35,154.10,155.30,155.095364956904345729,165910,1646,25731872.00,45069,27.16,2.25,0.75
3-July-2018,154.95,155.80,153.30,155.40,154.917184588682712677,313432,2190,48556003.00,74838,23.88,2.50,0.45
